,Player Name
0,Stephen Curry
1,LeBron James
2,Giannis Antetokounmpo
3,DeMar DeRozan
4,Nikola Jokić
5,Luka Dončić
6,Darius Garland
7,Jarrett Allen
8,Fred VanVleet
9,Jimmy Butler
10,Chris Paul
11,Joel Embiid
12,Jayson Tatum
13,Trae Young
14,Ja Morant
15,Andrew Wiggins
16,Devin Booker
17,Dejounte Murray
18,LaMelo Ball
19,Khris Middleton
20,Karl-Anthony Towns
21,Rudy Gobert
22,Zach LaVine
23,Jaylen Brown
24,Paul George
25,Damian Lillard
26,Domantas Sabonis
27,Kyrie Irving
28,Bradley Beal
29,Kawhi Leonard
30,Zion Williamson
31,James Harden
32,Donovan Mitchell
33,Nikola Vučević
34,Julius Randle
35,Mike Conley
36,Anthony Davis
37,Ben Simmons
38,Russell Westbrook
39,Kemba Walker
40,Pascal Siakam
41,Kyle Lowry
42,Bam Adebayo
43,Brandon Ingram
44,Kevin Durant
45,Klay Thompson
46,LaMarcus Aldridge
47,Dwyane Wade
48,Blake Griffin
49,D'Angelo Russell
50,Dirk Nowitzki
51,Andre Drummond
52,Victor Oladipo
53,Goran Dragić
54,Draymond Green
55,Al Horford
56,Marc Gasol
57,Gordon Hayward
58,DeAndre Jordan
59,DeMarcus Cousins
60,John Wall
61,Carmelo Anthony
62,Isaiah Thomas
63,Paul Millsap
64,Kobe Bryant
65,Pau Gasol
66,Tim Duncan
67,Kyle Korver
68,Jeff Teague
69,Chris Bosh
70,Joakim Noah
71,Roy Hibbert
72,Joe Johnson
73,Kevin Love
74,Dwight Howard
75,Tony Parker
76,David Lee
77,Zach Randolph
78,Kevin Garnett
79,Luol Deng
80,Tyson Chandler
81,Jrue Holiday
82,Brook Lopez
